first_name,last_name,GP,G,A,TP,PIM,+/-,team
Chris,Hedden,34,11,21,32,12,8,Air Force Academy
Samuel,Stitz,34,11,21,32,20,9,Air Force Academy
Nick,Sajevic,34,8,23,31,22,11,Air Force Academy
Will,Dawson,34,11,14,25,6,13,Air Force Academy
Brendan,Gibbons,34,6,14,20,14,1,Air Force Academy
Nolan,Cunningham,34,7,12,19,18,3,Air Force Academy
Will,Staring,34,5,13,18,35,4,Air Force Academy
Holt,Oliphant,34,7,8,15,10,5,Air Force Academy
Mason,McCormick,25,6,9,15,32,1,Air Force Academy
Jake,Peterson,32,4,10,14,8,7,Air Force Academy
Aidan,Willis,31,3,6,9,18,-2,Air Force Academy
Ren,Morque,32,3,5,8,10,-2,Air Force Academy
Cole,Christian,30,3,4,7,14,-7,Air Force Academy
Oli,Genest,21,5,1,6,8,-4,Air Force Academy
Anthony,Yu,31,3,3,6,6,-6,Air Force Academy
Charles,Panchisin,30,2,3,5,6,-6,Air Force Academy
Owen,DuBois,26,1,4,5,6,-6,Air Force Academy
Nicholas,Remissong,19,2,2,4,8,0,Air Force Academy
Michael,Kadlecik,15,1,3,4,8,2,Air Force Academy
Beau,Janzig,34,1,3,4,8,-4,Air Force Academy
Hayden,Nichol,21,2,1,3,6,1,Air Force Academy
Cade,Moxham,4,0,1,1,0,-3,Air Force Academy
Will,Jones,1,0,0,0,0,0,Air Force Academy
Calvin,Beard,4,0,0,0,0,0,Air Force Academy
Simon,Houge,12,0,0,0,0,0,Air Force Academy
Cruz,Lucius,36,15,31,46,16,1,Arizona State Univ.
Bennett,Schimek,35,13,30,43,14,-2,Arizona State Univ.
Cullen,Potter,24,12,14,26,16,-1,Arizona State Univ.
Kyle,Smolen,35,7,13,20,20,-8,Arizona State Univ.
Sam,Alfano,35,7,11,18,33,-14,Arizona State Univ.
Logan,Morrell,36,7,9,16,24,-14,Arizona State Univ.
Sean,McGurn,32,4,9,13,22,-15,Arizona State Univ.
Justin,Kipkie,35,4,9,13,16,-10,Arizona State Univ.
Carmelo,Crandell,34,7,5,12,25,-8,Arizona State Univ.
Noah,Powell,34,7,5,12,32,-7,Arizona State Univ.
Joel,Kjellberg,36,2,9,11,14,-1,Arizona State Univ.
Ty,Nash,32,5,5,10,8,-7,Arizona State Univ.
Benjamin,Kevan,34,4,6,10,4,-12,Arizona State Univ.
Jack,Beck,10,5,3,8,6,-5,Arizona State Univ.
John,Waldron,21,1,7,8,10,-7,Arizona State Univ.
Brasen,Boser,30,2,5,7,6,-2,Arizona State Univ.
Sam,Court,31,1,5,6,10,-9,Arizona State Univ.
Richard,Baran,36,0,5,5,22,-10,Arizona State Univ.
Anthony,Dowd,27,0,4,4,10,0,Arizona State Univ.
Tucker,Ness,25,2,0,2,22,-5,Arizona State Univ.
Lincoln,Kuehne,30,1,1,2,20,-2,Arizona State Univ.
Braxton,Whitehead,16,0,1,1,2,-5,Arizona State Univ.
Justin,Cloutier,4,0,0,0,0,0,Arizona State Univ.
Austin,Zemlak,5,0,0,0,8,-1,Arizona State Univ.
Tony,Achille,12,0,0,0,4,0,Arizona State Univ.
Jacob,Ivey,34,12,14,26,2,2,Army (U.S. Military Academy)
Benjamin,Ivey,31,13,11,24,4,-4,Army (U.S. Military Academy)
Nils,Forselius,31,5,19,24,20,-5,Army (U.S. Military Academy)
Barron,Woodring,34,7,16,23,12,-1,Army (U.S. Military Academy)
Nik,Hong,34,10,10,20,31,-2,Army (U.S. Military Academy)
Adam,Marshall,34,7,9,16,26,2,Army (U.S. Military Academy)
Brent,Keefer,34,6,9,15,29,-6,Army (U.S. Military Academy)
Jude,Brower,33,5,10,15,26,-6,Army (U.S. Military Academy)
Billy,Batten,34,4,9,13,10,-1,Army (U.S. Military Academy)
Vincent,Salice,34,7,2,9,20,-5,Army (U.S. Military Academy)
Lukas,McCloskey,26,2,5,7,24,-4,Army (U.S. Military Academy)
Owen,Nolan,34,2,5,7,39,-1,Army (U.S. Military Academy)
Samuel,Groebner,34,0,7,7,29,0,Army (U.S. Military Academy)
Easton,Zueger,29,1,5,6,41,7,Army (U.S. Military Academy)
Pierce,Patterson,17,0,5,5,4,1,Army (U.S. Military Academy)
Sean,Vlasich,32,1,3,4,24,-8,Army (U.S. Military Academy)
Liam,Chapman,19,1,2,3,2,5,Army (U.S. Military Academy)
Stephen,Willey,14,2,0,2,6,2,Army (U.S. Military Academy)
Brock,Jones,26,1,1,2,10,-5,Army (U.S. Military Academy)
Dylan,Wegner,19,1,0,1,2,-5,Army (U.S. Military Academy)
Lucas,Kanta,23,0,1,1,16,-4,Army (U.S. Military Academy)
Noah,Alvarez,2,0,0,0,0,0,Army (U.S. Military Academy)
Joey,Dosan,2,0,0,0,0,0,Army (U.S. Military Academy)
Jon,Bell,11,0,0,0,2,-1,Army (U.S. Military Academy)
Trevor,Smith,12,0,0,0,2,-1,Army (U.S. Military Academy)
Jacob,Ligi,13,0,0,0,6,-3,Army (U.S. Military Academy)
